,Date,GLIR,GLIRR
0,1/1/2022,412,
1,1/2/2022,412,
2,1/6/2022,487,
3,1/7/2022,487,
4,1/8/2022,487,
5,1/9/2022,487,
6,1/10/2022,487,
7,1/11/2022,547,
8,1/12/2022,525,
9,1/13/2022,684,
10,1/14/2022,483,
11,1/15/2022,450,
12,1/16/2022,450,
13,1/17/2022,450,
14,1/18/2022,450,
15,1/19/2022,508,
16,1/20/2022,516,
17,1/21/2022,499,
18,1/22/2022,518,
19,1/23/2022,575,
20,1/24/2022,575,
21,1/25/2022,431,
22,1/26/2022,432,
23,1/27/2022,525,
24,1/28/2022,554,
25,1/29/2022,671,
26,1/30/2022,624,
27,1/31/2022,700,
28,2/1/2022,600,
29,2/2/2022,600,
30,2/3/2022,600,
31,2/4/2022,450,
32,2/5/2022,548,
33,2/6/2022,443,
34,2/13/2022,375,
35,2/14/2022,500,
36,2/15/2022,436,
37,2/18/2022,406,
38,3/8/2022,375,
39,3/9/2022,375,
40,3/10/2022,375,
41,3/12/2022,375,
42,3/13/2022,375,
43,3/14/2022,356,
44,3/16/2022,356,
45,3/17/2022,356,
46,3/18/2022,356,
47,3/19/2022,356,
48,3/20/2022,600,
49,3/23/2022,749,
50,3/27/2022,525,
51,3/30/2022,525,
52,4/2/2022,525,
53,4/3/2022,487,
54,4/6/2022,487,
55,4/12/2022,487,
56,4/14/2022,450,
57,4/16/2022,450,
58,4/18/2022,450,
59,4/23/2022,600,
60,4/24/2022,700,
61,4/25/2022,700,
62,4/26/2022,700,
63,4/27/2022,525,
64,4/28/2022,525,
65,4/29/2022,525,
66,4/30/2022,525,
67,5/1/2022,525,
68,5/2/2022,525,
69,5/3/2022,700,
70,5/4/2022,675,
71,5/5/2022,675,
72,5/6/2022,675,
73,5/7/2022,675,
74,5/8/2022,675,
75,5/9/2022,675,
76,5/10/2022,675,
77,5/11/2022,653,
78,5/12/2022,675,
79,5/13/2022,569,
80,5/14/2022,539,
81,5/15/2022,595,
82,5/16/2022,529,
83,5/17/2022,506,
84,5/18/2022,506,
85,5/19/2022,506,
86,5/20/2022,506,
87,5/21/2022,506,
88,5/22/2022,560,
89,5/23/2022,652,
90,5/24/2022,726,
91,5/25/2022,756,
92,5/26/2022,756,
93,5/27/2022,756,
94,5/28/2022,756,
95,5/29/2022,567,
96,5/30/2022,567,
97,5/31/2022,679,
98,6/1/2022,673,
99,6/2/2022,638,
100,6/3/2022,614,
101,6/4/2022,592,
102,6/5/2022,605,
103,6/6/2022,702,
104,6/7/2022,772,
105,6/8/2022,793,
106,6/9/2022,807,
107,6/10/2022,804,
108,6/11/2022,797,
109,6/12/2022,778,
110,6/13/2022,778,
111,6/14/2022,713,
112,6/15/2022,666,
113,6/16/2022,666,
114,6/17/2022,708,
115,6/18/2022,827,
116,6/19/2022,827,
117,6/20/2022,796,
118,6/21/2022,795,
119,6/22/2022,763,
120,6/23/2022,763,
121,6/24/2022,763,
122,6/25/2022,763,
123,6/26/2022,572,
124,6/27/2022,740,
125,6/28/2022,713,
126,6/29/2022,811,
127,6/30/2022,835,
128,7/1/2022,835,
129,7/2/2022,835,
130,7/3/2022,835,
131,7/4/2022,626,
132,7/5/2022,626,
133,7/6/2022,626,
134,7/7/2022,626,
135,7/8/2022,626,
136,7/9/2022,835,
137,7/10/2022,855,
138,7/11/2022,855,
139,7/12/2022,855,
140,7/13/2022,641,
141,7/14/2022,856,
142,7/15/2022,642,
143,7/16/2022,642,
144,7/17/2022,642,
145,7/18/2022,642,
146,7/19/2022,642,
147,7/20/2022,627,
148,7/21/2022,627,
149,7/22/2022,836,
150,7/23/2022,955,
151,7/24/2022,923,
152,7/25/2022,885,
153,7/26/2022,887,
154,7/27/2022,908,
155,7/28/2022,868,
156,7/29/2022,868,
157,7/30/2022,851,
158,7/31/2022,851,
159,8/1/2022,679,
160,8/2/2022,551,
161,8/3/2022,551,
162,8/4/2022,655,
163,8/5/2022,628,
164,8/6/2022,628,
165,8/7/2022,607,
